id,category,topic,age_min_months,age_max_months,title,content,tips,avoid,keywords,questions,medical_disclaimer,source_id,source_section
KB0011,Phát triển xã hội và cảm xúc,Mốc phát triển,6,6,Mốc xã hội – cảm xúc ở 6 tháng,Nhận ra người quen. Thích nhìn mình trong gương. Cười thành tiếng.,[],[],"[""bé 6 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 6 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,6 months – social
KB0012,Ngôn ngữ và giao tiếp,Mốc phát triển,6,6,Mốc ngôn ngữ – giao tiếp ở 6 tháng,Luân phiên phát âm với người chăm sóc. Thổi môi và lưỡi tạo tiếng phì phì. Phát ra tiếng ré cao.,[],[],"[""bé 6 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 6 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,6 months – language
KB0013,Nhận thức,Mốc phát triển,6,6,Mốc nhận thức ở 6 tháng,Đưa đồ vật vào miệng để khám phá. Với lấy món đồ chơi mong muốn. Khép môi để biểu thị không muốn ăn thêm.,[],[],"[""bé 6 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 6 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,6 months – cognitive
KB0014,Vận động,Mốc phát triển,6,6,Mốc vận động và thể chất ở 6 tháng,Lẫy từ nằm sấp sang nằm ngửa. Chống tay thẳng khi nằm sấp. Chống hai tay để giữ thăng bằng khi ngồi.,[],[],"[""bé 6 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 6 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,6 months – physical
KB0015,Hoạt động và mẹo,Hỗ trợ phát triển,6,6,Cách hỗ trợ trẻ 6 tháng học và phát triển,"Dùng trò chơi luân phiên, sách tranh, bài hát và gọi tên sự vật để hỗ trợ giao tiếp, chú ý và vận động phù hợp khả năng.","[""Chơi qua lại: bé cười thì người lớn cười, bé phát âm thì người lớn bắt chước."", ""Xem sách hoặc tranh màu mỗi ngày; gọi tên hình ảnh và phản hồi tiếng bập bẹ của bé."", ""Chỉ và gọi tên những thứ mới như xe, cây và con vật khi đi dạo."", ""Hát và mở nhạc phù hợp để hỗ trợ phát triển não bộ."", ""Chỉ dùng màn hình để gọi video; ưu tiên giao tiếp trực tiếp."", ""Khi bé nhìn một vật, hãy chỉ vào và nói về vật đó."", ""Đặt bé nằm sấp hoặc nằm ngửa, để đồ chơi hơi ngoài tầm với và khuyến khích bé lẫy hoặc với tới."", ""Quan sát tâm trạng: tiếp tục khi bé vui; tạm dừng và dỗ dành khi bé khó chịu."", ""Trao đổi với nhân viên y tế về thời điểm bắt đầu thức ăn đặc và thực phẩm dễ gây hóc; sữa mẹ hoặc sữa công thức vẫn là nguồn dinh dưỡng chính."", ""Nhận biết dấu hiệu đói như chỉ vào thức ăn, há miệng khi thấy thìa, hào hứng khi thấy đồ ăn; dấu hiệu no gồm đẩy thức ăn, ngậm miệng hoặc quay đầu đi."", ""Giúp bé tự bình tĩnh bằng giọng nói nhẹ, bế, đung đưa, hát, cho mút ngón tay hoặc núm vú giả phù hợp; có thể đưa đồ chơi quen thuộc khi đang ôm bé."", ""Đỡ bé ở tư thế ngồi, cho nhìn xung quanh và chơi với đồ vật trong khi tập giữ thăng bằng.""]",[],"[""tips bé 6 tháng"", ""chơi với bé 6 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 6 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 6 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,6 months – tips
KB0016,Phát triển xã hội và cảm xúc,Mốc phát triển,9,9,Mốc xã hội – cảm xúc ở 9 tháng,"Có thể nhút nhát, bám người chăm sóc hoặc sợ người lạ. Biểu lộ nhiều nét mặt như vui, buồn, giận và ngạc nhiên. Nhìn lại khi được gọi tên. Phản ứng khi người chăm sóc rời đi. Cười khi chơi ú òa.",[],[],"[""bé 9 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 9 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,9 months – social
KB0017,Ngôn ngữ và giao tiếp,Mốc phát triển,9,9,Mốc ngôn ngữ – giao tiếp ở 9 tháng,Phát ra chuỗi âm khác nhau như “ma-ma-ma” hoặc “ba-ba-ba”. Giơ tay đòi bế.,[],[],"[""bé 9 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 9 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,9 months – language
KB0018,Nhận thức,Mốc phát triển,9,9,Mốc nhận thức ở 9 tháng,Tìm đồ vật bị rơi khuất tầm nhìn. Đập hai đồ vật vào nhau.,[],[],"[""bé 9 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 9 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,9 months – cognitive
KB0019,Vận động,Mốc phát triển,9,9,Mốc vận động và thể chất ở 9 tháng,Tự chuyển sang tư thế ngồi. Chuyển đồ vật từ tay này sang tay kia. Dùng các ngón tay cào thức ăn về phía mình. Ngồi không cần đỡ.,[],[],"[""bé 9 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 9 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,9 months – physical
KB0020,Hoạt động và mẹo,Hỗ trợ phát triển,9,9,Cách hỗ trợ trẻ 9 tháng học và phát triển,"Khuyến khích trẻ di chuyển tới đồ chơi, chơi tìm vật bị che và dùng âm thanh hoặc cử chỉ để giao tiếp trong môi trường an toàn.","[""Lặp lại âm thanh của bé rồi thêm từ đơn giản có âm gần giống để hỗ trợ học nói."", ""Đặt đồ chơi hơi ngoài tầm với trên sàn hoặc thảm, khuyến khích bé bò, trườn hoặc lăn tới và khen khi bé lấy được."", ""Dạy vẫy chào, lắc đầu và có thể dùng một số ký hiệu đơn giản để bé thể hiện nhu cầu trước khi nói được."", ""Chơi ú òa và các trò tìm đồ vật bị che."", ""Cùng đổ khối đồ chơi ra khỏi hộp rồi nhặt bỏ lại."", ""Chơi luân phiên bằng cách chuyền đồ chơi qua lại."", ""Xem sách, chỉ và gọi tên các hình ảnh."", ""Chỉ dùng màn hình để gọi video; ưu tiên nói chuyện và chơi trực tiếp."", ""Tìm hiểu thực phẩm gây hóc và cách chuẩn bị an toàn. Cho bé tập tự ăn bằng tay và uống một ít nước bằng cốc khi ngồi cùng người lớn; chấp nhận việc làm đổ trong quá trình học."", ""Nói điều muốn bé làm thay vì chỉ nói điều cấm, chẳng hạn “đến giờ ngồi xuống”."", ""Cho thử thức ăn có nhiều vị và kết cấu như mịn, nghiền hoặc băm nhỏ; có thể cần giới thiệu lại nhiều lần."", ""Chào tạm biệt ngắn gọn, vui vẻ thay vì lén rời đi; báo cho bé biết khi người chăm sóc quay lại.""]",[],"[""tips bé 9 tháng"", ""chơi với bé 9 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 9 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 9 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,9 months – tips
KB0021,Phát triển xã hội và cảm xúc,Mốc phát triển,12,12,Mốc xã hội – cảm xúc ở 12 tháng,Chơi trò tương tác với người lớn như vỗ tay theo nhịp.,[],[],"[""bé 12 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 12 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,12 months – social
KB0022,Ngôn ngữ và giao tiếp,Mốc phát triển,12,12,Mốc ngôn ngữ – giao tiếp ở 12 tháng,"Vẫy tay chào. Gọi cha mẹ bằng “mama”, “dada” hoặc tên gọi quen thuộc. Hiểu từ “không” và có thể tạm dừng hành động.",[],[],"[""bé 12 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 12 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,12 months – language
KB0023,Nhận thức,Mốc phát triển,12,12,Mốc nhận thức ở 12 tháng,Bỏ một đồ vật vào vật chứa. Tìm đồ vật vừa nhìn thấy người lớn giấu đi.,[],[],"[""bé 12 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 12 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,12 months – cognitive
KB0024,Vận động,Mốc phát triển,12,12,Mốc vận động và thể chất ở 12 tháng,Vịn để đứng lên. Đi men theo đồ đạc. Uống bằng cốc không nắp khi được người lớn giữ. Nhặt vật nhỏ bằng ngón cái và ngón trỏ.,[],[],"[""bé 12 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 12 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,12 months – physical
KB0025,Hoạt động và mẹo,Hỗ trợ phát triển,12,12,Cách hỗ trợ trẻ 12 tháng học và phát triển,"Làm mẫu hành vi, mở rộng âm hoặc từ trẻ nói, cho trẻ tham gia việc đơn giản và chuyển hướng nhất quán khỏi nguy hiểm.","[""Dạy hành vi mong muốn bằng cách làm mẫu, nói tích cực và ôm hoặc khen khi trẻ làm đúng."", ""Nói hoặc hát về hoạt động đang thực hiện, chẳng hạn khi rửa tay."", ""Mở rộng âm hoặc từ trẻ nói: trẻ nói một phần của từ thì người lớn nhắc lại từ đầy đủ và thêm mô tả."", ""Chuyển hướng nhanh và nhất quán khi trẻ chạm vào đồ không được phép. Dành từ “không” cho tình huống nguy hiểm; nói chắc chắn, không đánh, quát hoặc giảng giải dài."", ""Tạo khu vực khám phá an toàn; cất vật sắc, dễ vỡ, thuốc, hóa chất và chất tẩy rửa ngoài tầm với hoặc trong tủ khóa."", ""Khi trẻ chỉ, hãy đáp lại bằng từ ngữ và gọi tên đồ vật; khuyến khích mọi nỗ lực phát âm."", ""Chỉ cho trẻ những vật thú vị để trẻ học cùng chú ý với người khác."", ""Chỉ dùng màn hình để gọi video; ưu tiên tương tác trực tiếp."", ""Cho uống nước, sữa mẹ hoặc sữa nguyên chất phù hợp sau 12 tháng. Không cần nước trái cây; nếu dùng, giới hạn lượng nhỏ nước ép 100%, tránh đồ uống có đường."", ""Tiếp tục giới thiệu đa dạng vị và kết cấu; cho thử lại thực phẩm bị từ chối vào dịp khác."", ""Cho trẻ thời gian làm quen người chăm sóc mới và mang theo đồ vật quen thuộc để an ủi."", ""Cho trẻ gõ nồi, chảo hoặc nhạc cụ nhỏ an toàn để khám phá âm thanh.""]",[],"[""tips bé 12 tháng"", ""chơi với bé 12 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 12 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 12 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,12 months – tips
KB0026,Phát triển xã hội và cảm xúc,Mốc phát triển,15,15,Mốc xã hội – cảm xúc ở 15 tháng,"Bắt chước trẻ khác khi chơi. Đưa cho người lớn xem đồ vật mình thích. Vỗ tay khi hào hứng. Ôm búp bê hoặc đồ chơi mềm. Thể hiện tình cảm bằng ôm, âu yếm hoặc hôn.",[],[],"[""bé 15 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 15 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,15 months – social
KB0027,Ngôn ngữ và giao tiếp,Mốc phát triển,15,15,Mốc ngôn ngữ – giao tiếp ở 15 tháng,Cố nói thêm một hoặc hai từ ngoài từ gọi cha mẹ. Nhìn đồ vật quen thuộc khi nghe gọi tên. Làm theo hướng dẫn có cả lời nói và cử chỉ. Chỉ để xin đồ vật hoặc nhờ giúp đỡ.,[],[],"[""bé 15 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 15 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,15 months – language
KB0028,Nhận thức,Mốc phát triển,15,15,Mốc nhận thức ở 15 tháng,"Cố sử dụng đồ vật đúng công dụng như điện thoại, cốc hoặc sách. Xếp chồng ít nhất hai vật nhỏ.",[],[],"[""bé 15 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 15 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,15 months – cognitive
KB0029,Vận động,Mốc phát triển,15,15,Mốc vận động và thể chất ở 15 tháng,Tự đi được vài bước. Dùng ngón tay tự bốc một số thức ăn.,[],[],"[""bé 15 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 15 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,15 months – physical
KB0030,Hoạt động và mẹo,Hỗ trợ phát triển,15,15,Cách hỗ trợ trẻ 15 tháng học và phát triển,"Mở rộng từ trẻ nói, chờ trẻ chủ động giao tiếp, cho tham gia việc hằng ngày và duy trì nếp ăn–ngủ dễ dự đoán.","[""Nhắc lại và mở rộng từ chưa hoàn chỉnh của trẻ."", ""Khi trẻ chỉ vào đồ vật, gọi tên rồi chờ vài giây để trẻ thử phát âm trước khi đưa cho trẻ."", ""Cho trẻ tham gia việc hằng ngày như lấy giày, bỏ đồ ăn nhẹ vào túi hoặc cho tất vào giỏ."", ""Duy trì nếp ăn và ngủ; tạo trình tự đi ngủ yên tĩnh gồm mặc đồ ngủ, đánh răng và đọc sách."", ""Làm mẫu cách dùng đồ vật rồi cho trẻ thử bắt chước."", ""Hát các bài có động tác và khuyến khích trẻ làm theo."", ""Gọi tên cảm xúc của trẻ, đồng thời đặt giới hạn cho hành vi gây hại."", ""Cơn ăn vạ thường gặp ở tuổi này, nhất là khi mệt hoặc đói. Có thể chuyển hướng hoặc cho trẻ thời gian bình tĩnh rồi tiếp tục hoạt động."", ""Làm mẫu hành vi mong muốn và khen, ôm khi trẻ làm đúng."", ""Trẻ dưới 2 tuổi nên ưu tiên chơi và tương tác thay vì màn hình, ngoại trừ gọi video."", ""Cho chơi xếp khối và cùng xây rồi làm đổ."", ""Cho tập uống bằng cốc không nắp và dùng thìa; chấp nhận việc vương vãi khi học.""]",[],"[""tips bé 15 tháng"", ""chơi với bé 15 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 15 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 15 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,15 months – tips
KB0031,Phát triển xã hội và cảm xúc,Mốc phát triển,18,18,Mốc xã hội – cảm xúc ở 18 tháng,Đi ra xa nhưng quay lại kiểm tra người chăm sóc còn ở gần. Chỉ để cho người lớn xem điều thú vị. Đưa tay ra để được rửa. Cùng người lớn xem vài trang sách. Hỗ trợ khi mặc quần áo bằng cách luồn tay hoặc nhấc chân.,[],[],"[""bé 18 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 18 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,18 months – social
KB0032,Ngôn ngữ và giao tiếp,Mốc phát triển,18,18,Mốc ngôn ngữ – giao tiếp ở 18 tháng,Cố nói ít nhất ba từ ngoài từ gọi cha mẹ. Làm theo hướng dẫn một bước không cần cử chỉ. Bắt chước việc nhà như quét nhà. Chơi đồ chơi theo cách đơn giản như đẩy xe.,[],[],"[""bé 18 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 18 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,18 months – language
KB0033,Vận động,Mốc phát triển,18,18,Mốc vận động và thể chất ở 18 tháng,"Đi không cần vịn. Vẽ nguệch ngoạc. Uống bằng cốc không nắp, đôi lúc làm đổ. Tự bốc thức ăn. Cố dùng thìa. Tự trèo lên xuống ghế hoặc sofa.",[],[],"[""bé 18 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 18 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,18 months – physical
